chemical_name,chemical_formula,state,delta_h_form,delta_g_form
Carbon dioxide,CO2,g,-393.5,-394.4
Carbon dioxide,CO2,aq,-413.8,-386.0
Carbon disulfide,CS2,l,89.7,65.3
Carbon monoxide,CO,g,-110.5,-137.2
Carbon tetrachloride,CCl4,l,-128.4,-65.2
Carbonic acid,H2CO3,aq,-699.7,-623.1
Hydrochloric acid,HCl,g,-92.3,-95.3
Hydrochloric acid,HCl,aq,-167.2,-131.2
Hydrogen bromide,HBr,g,-36.4,-53.5
Hydrogen cyanide,HCN,g,135.1,124.7
Hydrogen cyanide,HCN,l,108.9,125.0
Hydrogen fluoride,HF,g,-271.1,-273.2
Hydrogen iodide,HI,g,26.5,1.7
Hydrogen peroxide,H2O2,l,-187.8,-120.4
Hydrogen sulfide,H2S,g,-20.6,-33.6
Hydrogen sulfide,H2S,aq,-39.7,-27.8
Iodine,I2,g,62.3,19.8
Iodine,I2,s,0,0
Iron (II),FeO,s,-272.0,—
Iron (III) oxide (hematite),Fe2O3,s,-824.2,-742.2
Iron (II) sulfide,FeS,s,α,-100.0,-100.4
Iron sulfide (pyrite),FeS2,s,-178.2,-166.9
Lead oxide,PbO,s,yellow,-217.3,-187.9
Lead oxide,PbO,s,red,-219.0,-188.9
Lead dioxide,PbO2,s,-277.4,-217.3
Lithium chloride,LiCl,s,-408.6,—
Lithium chloride,LiCl·H2O,s,-712.6,—
Lithium chloride,LiCl·2H2O,s,-1012.7,—
Lithium chloride,LiCl·3H2O,s,-1311.3,—
Magnesium oxide,MgO,s,-601.7,-569.4
Magnesium carbonate,MgCO3,s,-1095.8,-1012.1
Magnesium chloride,MgCl2,s,-641.3,-591.8
Mercury (I) chloride,Hg2Cl2,s,-265.2,-210.8
Mercury (II) chloride,HgCl2,s,-224.3,-178.6
Nitric acid,HNO3,l,-174.1,-80.7
Nitric acid,HNO3,aq,―,-111.3
Nitric oxide,NO,g,90.3,86.6
Nitrogen dioxide,NO2,g,33.2,51.3
Nitrous oxide,N2O,g,82.1,104.2
Nitrogen tetroxide,N2O4,g,9.2,97.9
Potassium chloride,KCl,s,-436.8,-409.1
Silicon dioxide,SiO2,s,α,-910.9,-856.6
Silver bromide,AgBr,s,-100.4,-96.9
Silver chloride,AgCl,s,-127.1,-109.8
Silver nitrate,AgNO3,s,-124.4,-33.4
Sodium bicarbonate,NaHCO3,s,-945.6,-847.9
Sodium carbonate,Na2CO3,s,-1130.7,-1044.4
Sodium carbonate,Na2CO3·10H2O,s,-4081.3,—
Sodium chloride,NaCl,s,-411.2,-384.1
Sodium chloride,NaCl,aq,―,-393.1
Sodium hydroxide,NaOH,s,-425.6,-379.5
Sodium hydroxide,NaOH,aq,―,-419.2
Sodium sulfate,Na2SO4,s,-1382.8,-1265.2
Sodium sulfate·decahydrate,Na2SO4·10H2O,s,-4322.5,-3642.3
Sulfur,S2,g,129.8,81.0
Sulfur,S2,l,1.1,0.3
Sulfur,S2,s,0,0
Sulfur dioxide,SO2,g,-296.8,-300.2
Sulfur trioxide,SO3,g,-395.7,-371.1
Sulfur trioxide,SO3,l,-441.0,—
Sulfuric acid,H2SO4,l,-814.0,-690.0
Sulfuric acid,H2SO4,aq,―,-744.5
Water,H2O,g,-241.8,-228.6
Water,H2O,l,-285.8,-237.1
Zinc oxide,ZnO,s,-348.3,-318.3
Nitrogen,N2,g,0,0
Hydrogen,H2,g,0,0
